pdi
0.05
0.246
0.136
0.171
0.196
0.117
0.111
0.224
0.237
0.257
0.012
0.061
0.056
0.028
0.07
0.115
0.224
0.212
0.231
0.139
0.002
0.012
0.122
0.119
0.062
0.187
0.256
0.312
0.2
0.223
0.201
0.297
0.272
0.167
0.233
0.201
0.232
0.056
0.043
0.065
0.028
0.071
0.086
0.124
0.029
0.021
0.162
0.045
0.12
0.094
0.08
0.093
0.333
0.278
0.466
0.081
0.21
0.119
0.159
0.156
0.158
0.097
0.079
0.089
0.11
0.072
0.138
0.094
0.098
0.132
0.21
0.203
0.131
0.091
0.132
0.085
0.156
0.092
0.211
0.272
0.257
0.238
0.201
0.184
0.129
0.209
0.159
0.144
0.219
0.046
0.096
0.166
0.17
0.172
0.144
0.208
0.146
0.054
0.076
0.112
0.109
0.122
0.135
0.103
0.055
0.125
0.328
0.058
0.14
0.244
0.208
0.141
0.108
0.204
0.2
0.086
0.066
0.165
0.184
0.084
0.075
0.128
0.086
0.045
0.1
0.059
0.079
0.056
0.073
0.035
0.143
0.068
0.119
0.023
0.078
0.021
0.037
0.159
0.092
0.296
0.141
0.008
0.047
0.027
0.043
0.031
0.072
0.018
0.041
0.312
0.306
0.192
0.146
0.101
0.236
0.198
0.204
0.338
0.366
0.289
0.166
0.166
0.092
0.082
0.108
0.105
0.069
0.096
0.153
0.099
0.072
0.165
0.187
0.229
0.144
0.184
0.216
0.177
0.029
0.045
0.021
0.003
0.012
0.074
0.04
0.008
0.075
0.04
0.022
0.062
0.022
0.053
0.048
0.018
0.046
0.081
0.009
0.014
0.011
0.019
0.206
0.145
0.079
0.05
0.012
0.151
0.051
0.145
0.035
0.013
0.023
0.121
0.061
0.009
0.059
0.078
0.066
0.074
0.049
0.007
0.145
0.052
0.192
0.21
0.165
0.159
0.024
0.103
0.019
0.113
0.008
0.129
0.01
0.03
0.069
0.045
0.14
0.07
0.126
0.159
0.156
0.158
0.097
0.081
0.21
0.119
0.333
0.278
0.466
0.079
0.089
0.11
0.072
0.138
0.094
0.098
0.132
0.21
0.203
0.131
0.091
0.132
0.085
0.156
0.092
0.211
0.272
0.257
0.238
0.201
0.184
0.129
0.209
0.159
0.144
0.219
0.046
0.096
0.166
0.17
0.172
0.144
0.208
0.146
0.054
0.076
0.112
0.109
0.215
0.23
0.109
0.268
0.304
0.225
0.457
0.579
0.739
0.199
0.127
0.049
0.182
0.226
0.149
0.317
0.245
0.26
0.233
0.026
0.085
0.025
0.023
0.064
0.068
0.063
0.095
0.022
0.018
0.114
0.133
0.077
0.149
0.07
0.015
0.077
0.07
0.003
0.082
0.257
0.179
0.252
0.195
0.188
0.191
0.185
0.157
0.143
0.224
0.021
0.027
0.053
0.044
0.179
0.053
0.005
0.035
0.047
0.021
0.02
0.023
0.036
0.014
0.125
0.02
0.058
0.031
0.066
0.165
0.063
0.06
0.119
0.137
0.153
0.15
0.112
0.02
0.041
0.053
0.118
0.059
0.012
0.01
0.124
0.042
0.074
0.16
0.097
0.068
0.118
0.049
0.049
0.092
0.164
0.09
0.106
0.113
0.075
0.089
0.115
0.144
0.036
0.133
0.175
0.034
0.019
0.035
0.112
0.047
0.002
0.022
0.076
0.064
0.031
0.039
0.05
0.076
0.043
0.003
0.003
0.043
0.077
0.185
0.011
0.067
0.032
0.037
0.004
0.035
0.002
0.089
0.067
0.108
0.083
0.087
0.115
0.08
0.029
0.09
0.077
0.025
0.005
0.075
0.067
0.138
0.064
0.055
0.035
0.031
0.09
0.047
0.092
0.006
